Kadencja;Czas;Liczba iteracji;Intensyf;Rand;Czy RedRand?;Sasiedztwo;Optimum
28;60;10000;4;1;1;0;1273
28;60;10000;4;1;1;0;1273
28;60;10000;4;1;1;1;1304
28;60;10000;4;1;1;1;1304
28;60;10000;4;1;1;1;1296
28;60;10000;4;1;1;1;1273
28;60;10000;4;1;1;1;1303
28;60;10000;4;1;1;1;1284
28;60;10000;4;1;1;2;1315
28;60;10000;4;1;1;2;1331
28;60;10000;4;1;1;2;1315
28;60;10000;4;1;1;2;1315
28;60;10000;4;1;1;2;1315
28;60;10000;4;1;1;2;1315
31;15;5000;4;1;1;0;1273
31;15;5000;4;1;1;0;1273
31;15;5000;4;1;1;0;1273
31;15;5000;4;1;1;0;1273
31;15;5000;4;1;1;0;1273
31;15;5000;4;1;1;0;1273
31;15;5000;4;1;1;1;1284
31;15;5000;4;1;1;1;1273
31;15;5000;4;1;1;1;1324
31;15;5000;4;1;1;1;1303
31;15;5000;4;1;1;1;1314
31;15;5000;4;1;1;1;1314
31;15;5000;4;1;1;2;1345
31;15;5000;4;1;1;2;1341
31;15;5000;4;1;1;2;1341
31;15;5000;4;1;1;2;1351
31;15;5000;4;1;1;2;1345
31;15;5000;4;1;1;2;1331
31;15;10000;4;1;1;0;1273
31;15;10000;4;1;1;0;1273
31;15;10000;4;1;1;0;1273
31;15;10000;4;1;1;0;1273
31;15;10000;4;1;1;0;1273
31;15;10000;4;1;1;0;1273
31;15;10000;4;1;1;1;1304
31;15;10000;4;1;1;1;1325
31;15;10000;4;1;1;1;1284
31;15;10000;4;1;1;1;1320
31;15;10000;4;1;1;1;1310
31;15;10000;4;1;1;1;1327
31;15;10000;4;1;1;2;1351
31;15;10000;4;1;1;2;1345
31;15;10000;4;1;1;2;1315
31;15;10000;4;1;1;2;1315
31;15;10000;4;1;1;2;1331
31;15;10000;4;1;1;2;1315
31;30;5000;4;1;1;0;1273
31;30;5000;4;1;1;0;1273
31;30;5000;4;1;1;0;1273
31;30;5000;4;1;1;0;1273
31;30;5000;4;1;1;0;1273
31;30;5000;4;1;1;0;1273
31;30;5000;4;1;1;1;1303
31;30;5000;4;1;1;1;1304
31;30;5000;4;1;1;1;1304
31;30;5000;4;1;1;1;1314
31;30;5000;4;1;1;1;1300
31;30;5000;4;1;1;1;1303
31;30;5000;4;1;1;2;1331
31;30;5000;4;1;1;2;1345
31;30;5000;4;1;1;2;1331
31;30;5000;4;1;1;2;1315
31;30;5000;4;1;1;2;1315
31;30;5000;4;1;1;2;1315
31;30;10000;4;1;1;0;1273
31;30;10000;4;1;1;0;1273
31;30;10000;4;1;1;0;1273
31;30;10000;4;1;1;0;1273
31;30;10000;4;1;1;0;1273
31;30;10000;4;1;1;0;1273
31;30;10000;4;1;1;1;1310
31;30;10000;4;1;1;1;1311
31;30;10000;4;1;1;1;1273
31;30;10000;4;1;1;1;1300
31;30;10000;4;1;1;1;1303
31;30;10000;4;1;1;1;1273
31;30;10000;4;1;1;2;1357
31;30;10000;4;1;1;2;1345
31;30;10000;4;1;1;2;1341
31;30;10000;4;1;1;2;1315
31;30;10000;4;1;1;2;1315
31;30;10000;4;1;1;2;1345
31;60;5000;4;1;1;0;1273
31;60;5000;4;1;1;0;1273
31;60;5000;4;1;1;0;1273
31;60;5000;4;1;1;0;1273
31;60;5000;4;1;1;0;1273
31;60;5000;4;1;1;0;1273
31;60;5000;4;1;1;1;1304
31;60;5000;4;1;1;1;1273
31;60;5000;4;1;1;1;1284
31;60;5000;4;1;1;1;1284
31;60;5000;4;1;1;1;1273
31;60;5000;4;1;1;1;1300
31;60;5000;4;1;1;2;1331
31;60;5000;4;1;1;2;1315
31;60;5000;4;1;1;2;1315
31;60;5000;4;1;1;2;1315
31;60;5000;4;1;1;2;1315
31;60;5000;4;1;1;2;1315
31;60;10000;4;1;1;0;1273
31;60;10000;4;1;1;0;1273
31;60;10000;4;1;1;0;1273
31;60;10000;4;1;1;0;1273
31;60;10000;4;1;1;0;1273
31;60;10000;4;1;1;0;1273
31;60;10000;4;1;1;1;1300
