Instancja;Kadencja;Czas;Liczba iteracji;Intensyf;Rand;Czy RedRand?;Sasiedztwo;Optimum;;;;;;;;;;;;
p43.atsp;20;10;5000;4;1;1;0;5621;5620.2;5620;5620;5621;0.447213595;0.0000355872;0.0000795754;;0.003558719;0.007957537;0;0.017793594
ry48p.atsp;30;5;5000;4;1;1;0;14556;;;;;;;;;;;;
ry48p.atsp;30;5;5000;4;1;1;0;14570;;;;;;;;;;;;
ry48p.atsp;30;5;5000;4;1;1;0;14553;;;;;;;;;;;;
ry48p.atsp;30;5;5000;4;1;1;0;14571;;Optym;Minimum;Maksimum;Odch;B³¹d wzglêdny;Odchylenie;;B³¹d wzglêdny;Odchylenie;Minimum;Maksimum
ry48p.atsp;30;5;5000;4;1;1;0;14516;14553.2;14422;14516;14571;22.30919093;0.009097213;0.001546886;;0.909721259;0.154688607;0.651782;1.033143808
ry48p.atsp;30;10;5000;4;1;1;0;14516;;;;;;;;;;;;
ry48p.atsp;30;10;5000;4;1;1;0;14516;;;;;;;;;;;;
ry48p.atsp;30;10;5000;4;1;1;0;14516;;;;;;;;;;;;
ry48p.atsp;30;10;5000;4;1;1;0;14516;;Optym;Minimum;Maksimum;Odch;B³¹d wzglêdny;Odchylenie;;B³¹d wzglêdny;Odchylenie;Minimum;Maksimum
ry48p.atsp;30;10;5000;4;1;1;0;14422;14497.2;14422;14422;14516;42.03807798;0.005214256;0.002914858;;0.5214256;0.291485772;0;0.651782
ry48p.atsp;30;15;5000;4;1;1;0;14453;;;;;;;;;;;;
ry48p.atsp;30;15;5000;4;1;1;0;14495;;;;;;;;;;;;
ry48p.atsp;30;15;5000;4;1;1;0;14481;;;;;;;;;;;;
ry48p.atsp;30;15;5000;4;1;1;0;14495;;Optym;Minimum;Maksimum;Odch;B³¹d wzglêdny;Odchylenie;;B³¹d wzglêdny;Odchylenie;Minimum;Maksimum
ry48p.atsp;30;15;5000;4;1;1;0;14453;14475.4;14422;14453;14495;21.23205124;0.003702676;0.001472199;;0.370267647;0.147219881;0.214949383;0.506171127
ry48p.atsp;30;20;5000;4;1;1;0;14453;;;;;;;;;;;;
ry48p.atsp;30;20;5000;4;1;1;0;14422;;;;;;;;;;;;
ry48p.atsp;30;20;5000;4;1;1;0;14453;;;;;;;;;;;;
ry48p.atsp;30;20;5000;4;1;1;0;14516;;Optym;Minimum;Maksimum;Odch;B³¹d wzglêdny;Odchylenie;;B³¹d wzglêdny;Odchylenie;Minimum;Maksimum
ry48p.atsp;30;20;5000;4;1;1;0;14422;14453.2;14422;14422;14516;38.37577361;0.002163362;0.002660919;;0.216336153;0.266091899;0;0.651782
ry48p.atsp;30;25;5000;4;1;1;0;14422;;;;;;;;;;;;
ry48p.atsp;30;25;5000;4;1;1;0;14422;;;;;;;;;;;;
ry48p.atsp;30;25;5000;4;1;1;0;14459;;;;;;;;;;;;
ry48p.atsp;30;25;5000;4;1;1;0;14495;;Optym;Minimum;Maksimum;Odch;B³¹d wzglêdny;Odchylenie;;B³¹d wzglêdny;Odchylenie;Minimum;Maksimum
ry48p.atsp;30;25;5000;4;1;1;0;14422;14444;14422;14422;14495;32.70321085;0.001525447;0.002267592;;0.152544723;0.226759193;0;0.506171127
ry48p.atsp;30;30;5000;4;1;1;0;14422;;;;;;;;;;;;
ry48p.atsp;30;30;5000;4;1;1;0;14422;;;;;;;;;;;;
ry48p.atsp;30;30;5000;4;1;1;0;14422;;;;;;;;;;;;
ry48p.atsp;30;30;5000;4;1;1;0;14422;;Optym;Minimum;Maksimum;Odch;B³¹d wzglêdny;Odchylenie;;B³¹d wzglêdny;Odchylenie;Minimum;Maksimum
ry48p.atsp;30;30;5000;4;1;1;0;14453;14428.2;14422;14422;14453;13.86362146;0.000429899;0.000961283;;0.042989877;0.096128286;0;0.214949383
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
