Instancja;Poczatkowa;Minimalna;Liczba iteracji;Chlodzenie;Typ alg;Sasiedztwo;Razem iteracji;Optimum;Czas
ftv47.atsp;1000;0.001;1000;0.95;1;1;270000;2053;0.694629
ftv47.atsp;1000;0.01;10;0.99;1;1;11460;2056;0.030997
ftv47.atsp;1000;0.01;1000;0.95;1;1;225000;2056;0.627807
ftv47.atsp;100;0.001;100;0.95;1;1;22500;2057;0.0589476
ftv47.atsp;100;0.1;1000;0.9;1;1;66000;2058;0.169584
ftv47.atsp;1000;0.001;1000;0.85;1;1;86000;2058;0.242727
ftv47.atsp;1000;0.01;100;0.99;1;1;114600;2059;0.301151
ftv47.atsp;1000;0.01;1000;0.99;1;0;1146000;2060;3.15465
ftv47.atsp;1000;0.001;1000;0.85;1;1;86000;2060;0.239466
ftv47.atsp;100;0.1;1000;0.85;1;1;43000;2061;0.109588
ftv47.atsp;1000;0.001;100;0.99;1;1;137500;2062;0.353576
ftv47.atsp;1000;0.001;1000;0.99;1;1;1375000;2062;3.46096
ftv47.atsp;100;0.1;1000;0.9;1;1;66000;2065;0.168304
ftv47.atsp;100;0.001;1000;0.95;1;1;225000;2065;0.577223
ftv47.atsp;1000;0.1;1000;0.85;1;1;57000;2065;0.187999
ftv47.atsp;1000;0.1;1000;0.95;1;1;180000;2065;0.495584
ftv47.atsp;1000;0.01;1000;0.95;1;1;225000;2065;0.573969
ftv47.atsp;1000;0.001;100;0.99;1;1;137500;2065;0.344975
ftv47.atsp;100;0.1;100;0.99;1;1;68800;2067;0.188209
ftv47.atsp;100;0.01;1000;0.85;1;1;57000;2067;0.146118
ftv47.atsp;100;0.001;1000;0.9;1;1;110000;2068;0.308912
ftv47.atsp;1000;0.01;1000;0.99;1;1;1146000;2068;3.04573
ftv47.atsp;100;0.001;100;0.99;1;1;114600;2070;0.298456
ftv47.atsp;100;0.01;1000;0.85;1;1;57000;2071;0.14778
ftv47.atsp;1000;0.1;1000;0.95;1;1;180000;2071;0.531608
ftv47.atsp;100;0.001;100;0.9;1;1;11000;2072;0.0285835
ftv47.atsp;100;0.1;1000;0.9;1;1;66000;2074;0.165809
ftv47.atsp;100;0.001;1000;0.99;1;0;1146000;2074;2.99147
ftv47.atsp;1000;0.001;100;0.99;1;1;137500;2074;0.350902
ftv47.atsp;100;0.001;1000;0.85;1;1;71000;2076;0.187417
ftv47.atsp;100;0.1;1000;0.85;1;1;43000;2077;0.123664
ftv47.atsp;100;0.01;100;0.95;1;1;18000;2079;0.0488359
ftv47.atsp;1000;0.01;1000;0.9;1;1;110000;2079;0.318522
ftv47.atsp;100;0.001;100;0.99;1;0;114600;2080;0.290413
ftv47.atsp;100;0.001;100;0.99;1;1;114600;2082;0.299136
ftv47.atsp;1000;0.1;100;0.99;1;1;91700;2082;0.240021
ftv47.atsp;1000;0.001;1000;0.99;1;1;1375000;2082;3.47392
ftv47.atsp;1000;0.01;1000;0.95;1;1;225000;2083;0.600185
ftv47.atsp;1000;0.1;100;0.99;1;1;91700;2084;0.241378
ftv47.atsp;1000;0.1;1000;0.9;1;1;88000;2084;0.2391
ftv47.atsp;1000;0.01;100;0.95;1;1;22500;2084;0.0603082
ftv47.atsp;100;0.1;1000;0.9;1;1;66000;2089;0.16706
ftv47.atsp;100;0.1;1000;0.99;1;0;688000;2089;1.73547
ftv47.atsp;100;0.01;100;0.99;1;1;91700;2089;0.271756
ftv47.atsp;100;0.01;1000;0.99;1;0;917000;2090;2.34008
ftv47.atsp;100;0.001;100;0.95;1;1;22500;2090;0.0578449
ftv47.atsp;1000;0.001;100;0.95;1;1;27000;2090;0.0686727
ftv47.atsp;1000;0.001;1000;0.85;1;1;86000;2090;0.227515
ftv47.atsp;1000;0.1;1000;0.85;1;1;57000;2091;0.180393
ftv47.atsp;1000;0.1;1000;0.85;1;1;57000;2091;0.204709
ftv47.atsp;1000;0.1;100;0.95;1;1;18000;2092;0.0466793
ftv47.atsp;1000;0.01;1000;0.85;1;1;71000;2092;0.182408
ftv47.atsp;100;0.01;1000;0.9;1;1;88000;2093;0.223672
ftv47.atsp;1000;0.01;1000;0.95;1;1;225000;2093;0.590844
ftv47.atsp;1000;0.01;1000;0.99;1;1;1146000;2093;3.01984
ftv47.atsp;1000;0.01;1000;0.99;1;2;1146000;2093;3.01552
ftv47.atsp;1000;0.1;1000;0.85;1;1;57000;2094;0.166001
ftv47.atsp;1000;0.01;1000;0.99;1;0;1146000;2095;2.79912
