Instancja;Poczatkowa;Minimalna;Liczba iteracji;Chlodzenie;Typ alg;Sasiedztwo;Razem iteracji;Optimum;Czas;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.97;1;2;303000;27534;0.790433;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.97;1;2;303000;27876;0.790988;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.97;1;2;303000;27830;0.797254;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.97;1;2;303000;27534;0.792291;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.97;1;2;303000;27768;0.793094;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.97;1;2;303000;27620;0.793012;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.97;1;2;303000;27620;0.793912;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.97;1;2;303000;27534;0.791626;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.97;1;2;303000;27759;0.789537;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.97;1;2;303000;27534;0.790037;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.97;1;2;303000;27759;0.794775;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.97;1;2;303000;28036;0.790852;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.97;1;2;303000;27534;0.79182;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.97;1;2;303000;27759;0.792712;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.97;1;2;303000;27768;0.795457;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.97;1;2;303000;27534;0.792105;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.97;1;2;303000;27534;0.787733;;Optym;Minimum;Maksimum;B³¹d wzglêdny;Odchylenie;Minimum;Maksimum
brazil58.tsp;1000;0.1;1000;0.97;1;2;303000;27759;0.795513;27637,64;25395;27534;28036;8,83102973;0,527223001;8,422917897;10,39968498
brazil58.tsp;1000;0.1;1000;0.98;1;2;456000;27768;1.19379;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.98;1;2;456000;27534;1.19652;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.98;1;2;456000;27534;1.19083;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.98;1;2;456000;27534;1.19044;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.98;1;2;456000;27759;1.19844;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.98;1;2;456000;27534;1.19394;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.98;1;2;456000;27534;1.19297;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.98;1;2;456000;27759;1.18962;;;;;;;;
brazil58.tsp;1000;0.1;1000;0.98;1;2;456000;27759;1.19057;;;;;;;;
