Instancja;Czas;Jednostka;Wynik;0 wyspa;1 wyspa;2 wyspa;3 wyspa;4 wyspa;;;412;443;438;437;435;;;;bez memetycznego;;memetycz insert;;;;
ft53.atsp;22600;ms;7565;7565;7565;7565;7565;7565;;;1;1;1;1;1;;;;;;;;;;
ft53.atsp;22485;ms;7580;7580;7580;7580;7580;7580;;;1;1;1;1;1;;;;;;;;;;
ft53.atsp;22571;ms;7261;7261;7261;7261;7261;7261;;;1;1;1;1;1;;;;;;;;;;
ft53.atsp;22533;ms;7446;7446;7446;7446;7446;7446;;;1;1;1;1;1;;;;;;;;;;
ft53.atsp;22596;ms;7624;7624;7624;7624;7624;7624;;;1;1;1;1;1;;;;;;;;;;
ft53.atsp;22488;ms;7328;7328;7328;7328;7328;7328;;;1;1;1;1;1;;;;;;;;;;
ft53.atsp;22561;ms;7446;7446;7446;7446;7446;7446;;;1;1;1;1;1;;;;;;;;;;
ft53.atsp;22487;ms;7456;7456;7456;7456;7456;7456;;;1;1;1;1;1;;;;;;;;;;
ft53.atsp;22572;ms;7207;7207;7207;7207;7207;7207;;;1;1;1;1;1;;;;;;;;;;
ft53.atsp;22750;ms;7292;7292;7292;7292;7292;7292;;;1;1;1;1;1;;;;;;;;;;
ft53.atsp;22787;ms;7221;7221;7221;7221;7221;7221;;;1;1;1;1;1;;;;;;;;;;
ft53.atsp;22843;ms;7464;7464;7464;7464;7464;7464;;;1;1;1;1;1;;;;;;;;;;
ft53.atsp;22879;ms;7758;7758;7758;7758;7758;7758;;;1;1;1;1;1;;;;;;;;;;
ft53.atsp;22736;ms;7268;7268;7268;7268;7268;7268;;;1;1;1;1;1;;;;;;;;;;
ft53.atsp;22866;ms;7272;7272;7272;7272;7272;7272;;;1;1;1;1;1;;;;;;;;;;
ft53.atsp;25616;ms;7294;7294;7294;7294;7294;7294;;;1;1;1;1;1;;;;;;;;;;
ft53.atsp;24148;ms;7338;7338;7338;7338;7338;7338;;;1;1;1;1;1;;;;;;;;;;
ft53.atsp;24352;ms;7446;7446;7446;7446;7446;7446;;;1;1;1;1;1;;;;;;;;;;
ft53.atsp;24601;ms;7743;7743;7743;7743;7743;7743;;;1;1;1;1;1;;;;;;;;;;
ft53.atsp;24823;ms;7444;7444;7444;7444;7444;7444;;;1;1;1;1;1;;;;;;;;;;
ft53.atsp;24954;ms;7507;7507;7507;7507;7507;7507;;;1;1;1;1;1;;;;;;;;;;
ft53.atsp;23715;ms;7061;7061;7061;7061;7061;7061;;;1;1;1;1;1;;;;;;;;;;
ft53.atsp;24457;ms;7482;7482;7482;7482;7482;7482;;;1;1;1;1;1;;;;;;;;;;
ft53.atsp;23871;ms;7453;7453;7453;7453;7453;7453;;;1;1;1;1;1;;;;;;;;;;
ft53.atsp;23383;ms;7207;7207;7207;7207;7207;7207;;;1;1;1;1;1;;;;;;;;;;
ft53.atsp;23285;ms;7425;7425;7425;7425;7425;7425;;;1;1;1;1;1;;;;;;;;;;
ft53.atsp;23363;ms;7446;7446;7446;7446;7446;7446;;;1;1;1;1;1;;;;;;;;;;
ft53.atsp;23804;ms;7472;7472;7472;7472;7472;7472;;;1;1;1;1;1;;;;;;;;;;
ft53.atsp;23383;ms;7603;7603;7603;7603;7603;7603;;;1;1;1;1;1;;;;;;;;;;
ft53.atsp;23548;ms;7507;7507;7507;7507;7507;7507;;;1;1;1;1;1;;;;;;;;;;
ft53.atsp;23251;ms;7387;7387;7387;7387;7387;7387;;;1;1;1;1;1;;;;;;;;;;
ft53.atsp;23420;ms;7209;7209;7209;7209;7209;7209;;;1;1;1;1;1;;;;;;;;;;
ft53.atsp;23885;ms;7688;7688;7688;7688;7688;7688;;;1;1;1;1;1;;;;;;;;;;
ft53.atsp;23479;ms;7608;7608;7608;7608;7608;7608;;;1;1;1;1;1;;;;;;;;;;
ft53.atsp;25228;ms;7821;7856;7821;7856;7856;7856;;;0;1;0;0;0;;;;;;;;;;
ft53.atsp;23561;ms;7475;7475;7475;7475;7475;7475;;;1;1;1;1;1;;;;;;;;;;
ft53.atsp;23154;ms;7415;7415;7415;7415;7415;7415;;;1;1;1;1;1;;;;;;;;;;
ft53.atsp;23469;ms;7498;7498;7498;7498;7498;7498;;;1;1;1;1;1;;;;;;;;;;
ft53.atsp;23491;ms;7319;7319;7319;7319;7319;7319;;;1;1;1;1;1;;;;;;;;;;
ft53.atsp;23419;ms;7482;7482;7482;7482;7482;7482;;;1;1;1;1;1;;;;;;;;;;
ft53.atsp;24542;ms;7541;7541;7541;7541;7541;7541;;;1;1;1;1;1;;;;;;;;;;
ft53.atsp;24232;ms;7446;7446;7446;7446;7446;7446;;;1;1;1;1;1;;;;;;;;;;
ft53.atsp;23813;ms;7504;7504;7504;7504;7504;7504;;;1;1;1;1;1;;;;;;;;;;
ft53.atsp;24397;ms;7449;7449;7449;7449;7449;7449;;;1;1;1;1;1;;;;;;;;;;
ft53.atsp;24563;ms;7331;7331;7331;7331;7331;7331;;;1;1;1;1;1;;;;;;;;;;
ft53.atsp;23680;ms;7587;7587;7587;7587;7587;7587;;;1;1;1;1;1;;;;;;;;;;
ft53.atsp;24704;ms;7819;7819;7819;7819;7857;7819;;;1;1;1;0;1;;;;;;;;;;
ft53.atsp;25767;ms;7207;7207;7207;7207;7207;7207;;;1;1;1;1;1;;;;;;;;;;
ft53.atsp;25016;ms;7472;7472;7472;7472;7472;7472;7452,64;7061;1;1;1;1;1;;;;;;;;;;
ftv47.atsp;20847;ms;1869;1869;1869;1869;1869;1869;;;1;1;1;1;1;;;;;;;;;;
ftv47.atsp;20686;ms;1902;1902;1902;1902;1902;1902;;;1;1;1;1;1;;;;;;;;;;
ftv47.atsp;22653;ms;1885;1885;1885;1885;1885;1885;;;1;1;1;1;1;;;;;;;;;;
