Instancja;Poczatkowa;Minimalna;Liczba iteracji;Chlodzenie;Typ alg;Sasiedztwo;Razem iteracji;Optimum;Czas;;Instancja;Poczatkowa;Minimalna;Liczba iteracji;Chlodzenie;Typ alg;Sasiedztwo;Razem iteracji;Optimum;Czas;;Instancja;Poczatkowa;Minimalna;Liczba iteracji;Chlodzenie;Typ alg;Sasiedztwo;Razem iteracji;Optimum;Czas;;Instancja;Poczatkowa;Minimalna;Liczba iteracji;Chlodzenie;Typ alg;Sasiedztwo;Razem iteracji;Optimum;Czas
ftv33.atsp;1000;0.001;1000;0.96;0;1;339000;1324;0.836495;;ftv35.atsp;1000;0.01;1000;0.88;0;1;91000;1566;0.220738;;ry48p.atsp;100;0.01;1000;0.98;0;1;456000;14664;1.12119;;ft53.atsp;100;0.001;1000;0.98;0;1;570000;7317;1.68128
ftv33.atsp;1000;0.001;1000;0.96;0;1;339000;1324;0.837472;;ftv35.atsp;1000;0.01;1000;0.9;0;1;110000;1566;0.267063;;ry48p.atsp;100;0.01;1000;0.84;0;1;53000;14665;0.131271;;ft53.atsp;100;0.001;1000;0.94;0;1;187000;7318;0.496165
ftv33.atsp;1000;0.001;1000;0.8;0;1;62000;1340;0.15503;;ftv35.atsp;1000;0.01;1000;0.9;0;1;110000;1566;0.271566;;ry48p.atsp;100;0.01;1000;0.92;0;1;111000;14665;0.279573;;ft53.atsp;100;0.001;1000;0.96;0;1;283000;7321;0.783497
ftv33.atsp;1000;0.001;1000;0.86;0;1;92000;1347;0.223895;;ftv35.atsp;1000;0.01;1000;0.92;0;1;139000;1566;0.338818;;ry48p.atsp;100;0.01;1000;0.9;0;1;88000;14670;0.216002;;ft53.atsp;100;0.001;1000;0.96;0;1;283000;7321;0.730103
ftv33.atsp;1000;0.001;1000;0.8;0;1;62000;1347;0.153998;;ftv35.atsp;1000;0.01;1000;0.94;0;1;187000;1566;0.459218;;ry48p.atsp;100;0.01;1000;0.84;0;1;53000;14673;0.129352;;ft53.atsp;100;0.001;1000;0.88;0;1;91000;7322;0.227131
ftv33.atsp;1000;0.001;1000;0.86;0;1;92000;1347;0.227371;;ftv35.atsp;1000;0.01;1000;0.98;0;1;570000;1566;1.39137;;ry48p.atsp;100;0.01;1000;0.9;0;1;88000;14678;0.218598;;ft53.atsp;100;0.001;1000;0.98;0;1;570000;7322;1.49877
ftv33.atsp;1000;0.001;1000;0.88;0;1;109000;1347;0.267435;;ftv35.atsp;1000;0.01;1000;0.86;0;1;77000;1566;0.187474;;ry48p.atsp;100;0.01;1000;0.84;0;1;53000;14682;0.130078;;ft53.atsp;100;0.001;1000;0.84;0;1;67000;7331;0.168633
ftv33.atsp;1000;0.001;1000;0.98;0;1;684000;1347;1.68419;;ftv35.atsp;1000;0.01;1000;0.86;0;1;77000;1566;0.190469;;ry48p.atsp;100;0.01;1000;0.94;0;1;149000;14682;0.373731;;ft53.atsp;100;0.001;1000;0.94;0;1;187000;7332;0.499724
ftv33.atsp;1000;0.001;1000;0.88;0;1;109000;1349;0.269129;;ftv35.atsp;1000;0.01;1000;0.88;0;1;91000;1566;0.22252;;ry48p.atsp;100;0.01;1000;0.8;0;1;42000;14684;0.102953;;ft53.atsp;100;0.001;1000;0.92;0;1;139000;7339;0.349429
ftv33.atsp;1000;0.001;1000;0.96;0;1;339000;1349;0.830314;;ftv35.atsp;1000;0.01;1000;0.88;0;1;91000;1566;0.222041;;ry48p.atsp;100;0.01;1000;0.82;0;1;47000;14684;0.116459;;ft53.atsp;100;0.001;1000;0.96;0;1;283000;7341;0.701817
ftv33.atsp;1000;0.001;1000;0.84;0;1;80000;1349;0.19464;;ftv35.atsp;1000;0.01;1000;0.88;0;1;91000;1566;0.226367;;ry48p.atsp;100;0.01;1000;0.9;0;1;88000;14687;0.218836;;ft53.atsp;100;0.001;1000;0.94;0;1;187000;7344;0.504471
ftv33.atsp;1000;0.001;1000;0.84;0;1;80000;1349;0.200012;;ftv35.atsp;1000;0.01;1000;0.88;0;1;91000;1566;0.223649;;ry48p.atsp;100;0.01;1000;0.88;0;1;73000;14689;0.183245;;ft53.atsp;100;0.001;1000;0.88;0;1;91000;7351;0.223547
ftv33.atsp;1000;0.001;1000;0.88;0;1;109000;1349;0.278033;;ftv35.atsp;1000;0.01;1000;0.9;0;1;110000;1566;0.274218;;ry48p.atsp;100;0.01;1000;0.98;0;1;456000;14694;1.11877;;ft53.atsp;100;0.001;1000;0.88;0;1;91000;7353;0.225005
ftv33.atsp;1000;0.001;1000;0.9;0;1;132000;1349;0.327458;;ftv35.atsp;1000;0.01;1000;0.9;0;1;110000;1566;0.271103;;ry48p.atsp;100;0.01;1000;0.82;0;1;47000;14694;0.119494;;ft53.atsp;100;0.001;1000;0.86;0;1;77000;7355;0.194838
ftv33.atsp;1000;0.001;1000;0.94;0;1;224000;1349;0.550454;;ftv35.atsp;1000;0.01;1000;0.92;0;1;139000;1566;0.346993;;ry48p.atsp;100;0.01;1000;0.88;0;1;73000;14698;0.182677;;ft53.atsp;100;0.001;1000;0.9;0;1;110000;7355;0.276125
ftv33.atsp;1000;0.001;1000;0.98;0;1;684000;1349;1.72744;;ftv35.atsp;1000;0.01;1000;0.92;0;1;139000;1566;0.341506;;ry48p.atsp;100;0.01;1000;0.94;0;1;149000;14700;0.36758;;ft53.atsp;100;0.001;1000;0.94;0;1;187000;7356;0.461393
ftv33.atsp;1000;0.001;1000;0.999;0;1;13809000;1349;33.8288;;ftv35.atsp;1000;0.01;1000;0.94;0;1;187000;1566;0.464441;;ry48p.atsp;100;0.01;1000;0.88;0;1;73000;14704;0.184966;;ft53.atsp;100;0.001;1000;0.84;0;1;67000;7359;0.164169
ftv33.atsp;1000;0.001;1000;0.999;0;1;13809000;1349;34.0038;;ftv35.atsp;1000;0.01;1000;0.94;0;1;187000;1566;0.459469;;ry48p.atsp;100;0.01;1000;0.94;0;1;149000;14705;0.366518;;ft53.atsp;100;0.001;1000;0.96;0;1;283000;7363;0.757995
