Instancja;Czas;Jednostka;Wynik;Iteracji;Populacja;RandomNodes;praw.Mutacja;krzy¿owanie;selekcja;mutacja;elitism;memetic;czas;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10017;ms;1774;251;150;3;0.15;2;1;2;15;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10019;ms;1640;248;150;3;0.15;2;1;2;15;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10021;ms;1694;249;150;3;0.15;2;1;2;15;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10031;ms;1669;243;150;3;0.15;2;1;2;15;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10031;ms;1735;255;150;3;0.15;2;1;2;15;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10018;ms;1722;250;150;3;0.15;2;1;2;15;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10024;ms;1671;252;150;3;0.15;2;1;2;15;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10001;ms;1698;250;150;3;0.15;2;1;2;15;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10011;ms;1677;259;150;3;0.15;2;1;2;15;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10030;ms;1689;253;150;3;0.15;2;1;2;15;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10016;ms;1721;249;150;3;0.15;2;1;2;15;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10005;ms;1671;245;150;3;0.15;2;1;2;15;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10030;ms;1720;249;150;3;0.15;2;1;2;15;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10034;ms;1676;264;150;3;0.15;2;1;2;15;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10005;ms;1710;242;150;3;0.15;2;1;2;15;1;10;;;;;;;;;;;;;;;;;;;
ftv44.atsp;10017;ms;1640;263;150;3;0.15;2;1;2;15;1;10;;;;;;;;;;;;;;;;;;;
