Instancja;Czas;Jednostka;Wynik;Iteracji;Populacja;RandomNodes;praw.Mutacja;krzy¿owanie;selekcja;mutacja;elitism;memetic;czas;;;;;;;;;;;
ftv55.atsp;10018;ms;1687;243;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv55.atsp;10006;ms;1657;243;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv55.atsp;10010;ms;1658;246;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv55.atsp;10002;ms;1714;249;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv55.atsp;10031;ms;1735;249;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv55.atsp;10020;ms;1738;247;100;3;0.15;2;1;2;5;1;10;1688,85;1608;1828;;;;;;;;
ftv64.atsp;10009;ms;2019;145;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv64.atsp;10001;ms;2066;147;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv64.atsp;10019;ms;1964;142;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv64.atsp;10029;ms;1910;143;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv64.atsp;10043;ms;1996;138;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv64.atsp;10035;ms;1953;140;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv64.atsp;10037;ms;1915;150;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv64.atsp;10003;ms;1946;148;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv64.atsp;10023;ms;1914;148;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv64.atsp;10001;ms;1911;150;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv64.atsp;10019;ms;1944;150;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv64.atsp;10036;ms;1928;147;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv64.atsp;10032;ms;1880;150;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv64.atsp;10010;ms;1952;150;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv64.atsp;10022;ms;1939;149;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv64.atsp;10013;ms;1887;145;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv64.atsp;10005;ms;1969;148;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv64.atsp;10021;ms;1975;146;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv64.atsp;10025;ms;1887;147;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv64.atsp;10007;ms;1948;148;100;3;0.15;2;1;2;5;1;10;1945,15;1880;2066;;;;;;;;
ftv47.atsp;10004;ms;1893;386;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv47.atsp;10007;ms;1916;378;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv47.atsp;10008;ms;1815;388;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv47.atsp;10005;ms;1865;386;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv47.atsp;10015;ms;1961;375;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv47.atsp;10003;ms;1956;387;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv47.atsp;10014;ms;1864;385;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv47.atsp;10019;ms;1826;386;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv47.atsp;10008;ms;1864;387;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv47.atsp;10016;ms;1842;378;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv47.atsp;10000;ms;1919;387;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv47.atsp;10007;ms;1979;388;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv47.atsp;10006;ms;1826;386;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv47.atsp;10011;ms;1951;386;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv47.atsp;10017;ms;1917;386;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv47.atsp;10023;ms;1838;375;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv47.atsp;10012;ms;1820;370;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv47.atsp;10003;ms;1864;387;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv47.atsp;10017;ms;1803;385;100;3;0.15;2;1;2;5;1;10;;;;;;;;;;;
ftv47.atsp;10010;ms;1834;386;100;3;0.15;2;1;2;5;1;10;1877,65;1803;1979;;;;;;;;
