Instancja;Czas;Jednostka;Wynik;Typ memetic;0 wyspa;1 wyspa;2 wyspa;3 wyspa;4 wyspa;;;;;;;;;;;;;;;;;;
ftv44.atsp;5603;ms;1706;1;7;6;7;7;6;;;;;;;;;;;;;;;;;;
ftv44.atsp;5444;ms;1704;1;9;7;8;9;7;;;;;;;;;;;;;;;;;;
ftv44.atsp;5567;ms;1704;1;8;7;8;9;7;;;;;;;;;;;;;;;;;;
ftv44.atsp;5712;ms;1692;1;10;7;8;8;8;;;;;;;;;;;;;;;;;;
ftv44.atsp;5513;ms;1717;1;9;7;8;9;8;;;;;;;;;;;;;;;;;;
ftv44.atsp;5703;ms;1717;1;9;7;9;9;7;;;;;;;;;;;;;;;;;;
ftv44.atsp;5802;ms;1742;1;8;7;8;9;8;;;;;;;;;;;;;;;;;;
ftv44.atsp;5582;ms;1704;1;9;7;8;8;7;;;;;;;;;;;;;;;;;;
ftv44.atsp;5680;ms;1704;1;9;8;9;9;8;;;;;;;;;;;;;;;;;;
ftv44.atsp;5644;ms;1706;1;9;7;9;8;8;;;;;;;;;;;;;;;;;;
ftv44.atsp;5538;ms;1761;1;9;7;9;9;7;;;;;;;;;;;;;;;;;;
ftv44.atsp;5647;ms;1723;1;8;7;9;8;8;;;;;;;;;;;;;;;;;;
ftv44.atsp;6147;ms;1706;1;7;5;7;7;6;;;;;;;;;;;;;;;;;;
ftv44.atsp;6467;ms;1783;1;7;6;7;6;6;;;;;;;;;;;;;;;;;;
ftv44.atsp;6905;ms;1704;1;7;6;6;6;7;;;;;;;;;;;;;;;;;;
ftv44.atsp;6528;ms;1777;1;6;6;6;6;6;;;;;;;;;;;;;;;;;;
ftv44.atsp;5951;ms;1828;1;7;6;7;7;7;1717.14;1688;23.53635486;1828;8.164;5951;;;;;;;;;;;;
ftv44.atsp;7464;ms;1692;1;15;11;13;14;13;;;;;;;;;;;;;;;;;;
ftv44.atsp;7668;ms;1704;1;15;12;14;14;14;;;;;;;;;;;;;;;;;;
ftv44.atsp;6935;ms;1704;1;19;16;19;18;15;;;;;;;;;;;;;;;;;;
ftv44.atsp;6844;ms;1704;1;16;13;16;16;14;;;;;;;;;;;;;;;;;;
ftv44.atsp;6576;ms;1704;1;19;16;18;18;16;;;;;;;;;;;;;;;;;;
