Instancja;Czas;Jednostka;Wynik;Typ memetic;0 wyspa;1 wyspa;2 wyspa;3 wyspa;4 wyspa;
ftv170.atsp;31918;ms;3318;1;22;22;22;22;22;
ftv170.atsp;31720;ms;3368;1;23;22;22;23;21;
ftv170.atsp;31822;ms;3285;1;22;21;22;21;21;
ftv170.atsp;31822;ms;3273;1;23;22;23;22;21;
ftv170.atsp;31673;ms;3276;1;23;22;22;23;22;
ftv170.atsp;31789;ms;3285;1;23;22;23;23;22;
ftv170.atsp;31881;ms;3265;1;22;21;22;22;21;
ftv170.atsp;31590;ms;3292;1;21;21;21;21;20;
ftv170.atsp;31818;ms;3276;1;23;22;23;23;21;
ftv170.atsp;31659;ms;3347;1;22;22;22;22;21;
ftv170.atsp;31458;ms;3279;1;22;21;22;22;21;
ftv170.atsp;31803;ms;3279;1;23;22;23;23;22;
ftv170.atsp;31650;ms;3331;1;23;22;23;23;22;
ftv170.atsp;31895;ms;3276;1;23;22;23;23;22;
ftv170.atsp;31693;ms;3276;1;22;21;22;22;21;
ftv170.atsp;31548;ms;3368;1;22;21;22;22;21;
ftv170.atsp;31809;ms;3276;1;23;22;23;22;22;
ftv170.atsp;31894;ms;3276;1;23;22;23;23;22;
ftv170.atsp;31810;ms;3299;1;23;22;22;23;22;
ftv170.atsp;31670;ms;3279;1;21;21;21;21;20;
ftv170.atsp;31845;ms;3368;1;22;22;22;23;21;
ftv170.atsp;31652;ms;3276;1;23;22;23;23;22;
ftv170.atsp;31867;ms;3352;1;21;21;21;21;20;
ftv170.atsp;31851;ms;3300;1;20;20;20;21;19;
ftv170.atsp;31553;ms;3368;1;22;22;22;22;21;
ftv170.atsp;31610;ms;3371;1;21;20;21;21;20;
ftv170.atsp;31644;ms;3292;1;23;22;23;23;22;
ftv170.atsp;31888;ms;3276;1;22;22;23;23;22;
ftv170.atsp;31828;ms;3368;1;22;22;22;23;22;3168
rbg323.atsp;20907;ms;1688;1;2;2;2;2;2;
rbg323.atsp;20836;ms;1696;1;2;2;2;2;2;
rbg323.atsp;20879;ms;1689;1;2;2;2;2;2;
rbg323.atsp;21073;ms;1688;1;2;2;2;2;2;
rbg323.atsp;20895;ms;1695;1;2;2;2;2;2;
rbg323.atsp;20990;ms;1696;1;2;2;2;2;2;
rbg323.atsp;21056;ms;1688;1;2;2;2;2;2;
rbg323.atsp;20948;ms;1688;1;2;2;2;2;2;
rbg323.atsp;21027;ms;1688;1;2;2;2;2;2;
rbg323.atsp;21535;ms;1695;1;2;2;2;2;2;
rbg323.atsp;21083;ms;1688;1;2;2;2;2;2;
rbg323.atsp;21342;ms;1688;1;2;2;2;2;2;
rbg323.atsp;21631;ms;1688;1;2;2;2;2;2;
rbg323.atsp;21548;ms;1688;1;2;2;2;2;2;
rbg323.atsp;21437;ms;1685;1;2;2;2;2;2;
rbg323.atsp;21374;ms;1695;1;2;2;2;2;2;
rbg323.atsp;21556;ms;1688;1;2;2;2;2;2;
rbg323.atsp;21599;ms;1687;1;2;2;2;2;2;
rbg323.atsp;20964;ms;1688;1;2;2;2;2;2;
rbg323.atsp;21234;ms;1696;1;2;2;2;2;2;
rbg323.atsp;21170;ms;1688;1;2;2;2;2;2;
rbg323.atsp;21262;ms;1688;1;2;2;2;2;2;
rbg323.atsp;21445;ms;1688;1;2;2;2;2;2;
rbg323.atsp;21354;ms;1688;1;2;2;2;2;2;
rbg323.atsp;20955;ms;1697;1;2;2;2;2;2;
rbg323.atsp;21410;ms;1697;1;2;2;2;2;2;
rbg323.atsp;21085;ms;1688;1;2;2;2;2;2;
rbg323.atsp;21101;ms;1691;1;2;2;2;2;2;
rbg323.atsp;22424;ms;1688;1;2;2;2;2;2;
rbg323.atsp;20767;ms;1697;1;2;2;2;2;2;
rbg323.atsp;22203;ms;1688;1;2;2;2;2;2;
rbg323.atsp;22639;ms;1688;1;2;2;2;2;2;
rbg323.atsp;22461;ms;1688;1;2;2;2;2;2;
rbg323.atsp;22912;ms;1688;1;2;2;2;2;2;
rbg323.atsp;22013;ms;1690;1;2;2;2;2;2;
rbg323.atsp;21522;ms;1688;1;2;2;2;2;2;
rbg323.atsp;22515;ms;1688;1;2;2;2;2;2;
rbg323.atsp;22550;ms;1696;1;2;2;2;2;2;
rbg323.atsp;22643;ms;1695;1;2;2;2;2;2;
rbg323.atsp;23195;ms;1697;1;2;2;2;2;2;
rbg323.atsp;22178;ms;1688;1;2;2;2;2;2;
rbg323.atsp;21996;ms;1688;1;2;2;2;2;2;
rbg323.atsp;21633;ms;1694;1;2;2;2;2;2;
rbg323.atsp;22802;ms;1692;1;2;2;2;2;2;
rbg323.atsp;24849;ms;1697;1;2;2;2;2;2;
rbg323.atsp;22853;ms;1697;1;2;2;2;2;2;
rbg323.atsp;21996;ms;1689;1;2;2;2;2;2;
rbg323.atsp;22843;ms;1689;1;2;2;2;2;2;
rbg323.atsp;22918;ms;1688;1;2;2;2;2;2;
rbg323.atsp;23581;ms;1698;1;2;2;2;2;2;1685
rbg323.atsp;37779;ms;1655;1;5;5;5;5;5;
rbg323.atsp;37055;ms;1661;1;5;5;5;5;5;
rbg323.atsp;37657;ms;1644;1;5;5;5;5;5;
rbg323.atsp;38461;ms;1653;1;5;5;5;5;5;
rbg323.atsp;39158;ms;1663;1;5;5;5;5;5;
rbg323.atsp;38059;ms;1655;1;5;5;5;5;5;
rbg323.atsp;37707;ms;1650;1;5;5;5;5;5;
rbg323.atsp;38238;ms;1653;1;5;5;5;5;5;
rbg323.atsp;37829;ms;1655;1;5;5;5;5;5;
rbg323.atsp;38450;ms;1648;1;5;5;5;5;5;
rbg323.atsp;37422;ms;1648;1;5;5;5;5;5;
rbg323.atsp;38275;ms;1655;1;5;5;5;5;5;
rbg323.atsp;38026;ms;1659;1;5;5;5;5;5;
rbg323.atsp;38982;ms;1653;1;5;5;5;5;5;
rbg323.atsp;37642;ms;1656;1;5;5;5;5;5;
rbg323.atsp;39537;ms;1644;1;5;5;5;5;5;
rbg323.atsp;39753;ms;1652;1;5;5;5;5;5;
rbg323.atsp;37366;ms;1640;1;5;5;5;5;5;
rbg323.atsp;38843;ms;1644;1;5;5;5;5;5;
rbg323.atsp;38963;ms;1644;1;5;5;5;5;5;
rbg323.atsp;38523;ms;1654;1;5;5;5;5;5;
rbg323.atsp;39044;ms;1653;1;5;5;5;5;5;
rbg323.atsp;37648;ms;1652;1;5;5;5;5;5;
rbg323.atsp;38134;ms;1655;1;5;5;5;5;5;
rbg323.atsp;38510;ms;1654;1;5;5;5;5;5;
rbg323.atsp;39018;ms;1644;1;5;5;5;5;5;
rbg323.atsp;39122;ms;1651;1;5;5;5;5;5;
rbg323.atsp;38472;ms;1658;1;5;5;5;5;5;
rbg323.atsp;38167;ms;1664;1;5;5;5;5;5;
rbg323.atsp;39136;ms;1652;1;5;5;5;5;5;
rbg323.atsp;37655;ms;1656;1;5;5;5;5;5;
rbg323.atsp;37926;ms;1651;1;5;5;5;5;5;
rbg323.atsp;39247;ms;1656;1;5;5;5;5;5;
rbg323.atsp;39233;ms;1652;1;5;5;5;5;5;
rbg323.atsp;38195;ms;1645;1;5;5;5;5;5;
rbg323.atsp;39211;ms;1644;1;5;5;5;5;5;
rbg323.atsp;38423;ms;1645;1;5;5;5;5;5;
rbg323.atsp;37290;ms;1654;1;5;5;5;5;5;
rbg323.atsp;39107;ms;1658;1;5;5;5;5;5;
rbg323.atsp;38204;ms;1645;1;5;5;5;5;5;
rbg323.atsp;38745;ms;1665;1;5;5;5;5;5;
rbg323.atsp;37782;ms;1654;1;5;5;5;5;5;
rbg323.atsp;36296;ms;1655;1;5;5;5;5;5;
rbg323.atsp;37826;ms;1656;1;5;5;5;5;5;
rbg323.atsp;37856;ms;1643;1;5;5;5;5;5;
rbg323.atsp;38983;ms;1655;1;5;5;5;5;5;
rbg323.atsp;39727;ms;1661;1;5;5;5;5;5;
rbg323.atsp;38974;ms;1652;1;5;5;5;5;5;
rbg323.atsp;39033;ms;1653;1;5;5;5;5;5;
rbg323.atsp;39057;ms;1648;1;5;5;5;5;5;1640
rbg358.atsp;28020;ms;1752;1;2;2;2;2;2;
rbg358.atsp;26873;ms;1756;1;2;2;2;2;2;
rbg358.atsp;27028;ms;1754;1;2;2;2;2;2;
rbg358.atsp;26611;ms;1756;1;2;2;2;2;2;
rbg358.atsp;26654;ms;1754;1;2;2;2;2;2;
rbg358.atsp;27919;ms;1756;1;2;2;2;2;2;
rbg358.atsp;26789;ms;1760;1;2;2;2;2;2;
rbg358.atsp;27657;ms;1761;1;2;2;2;2;2;
rbg358.atsp;26456;ms;1751;1;2;2;2;2;2;
rbg358.atsp;27027;ms;1760;1;2;2;2;2;2;
rbg358.atsp;27080;ms;1751;1;2;2;2;2;2;
rbg358.atsp;27169;ms;1757;1;2;2;2;2;2;
rbg358.atsp;26705;ms;1759;1;2;2;2;2;2;
