Instancja;Czas;Jednostka;Wynik;Typ memetic;0 wyspa;1 wyspa;2 wyspa;3 wyspa;4 wyspa;;;;;;;;;;;;;
ftv55.atsp;21213;ms;1636;1;48;48;55;55;47;;;;;;;;;;;;;
ftv55.atsp;20138;ms;1704;1;52;52;62;61;53;;;;;;;;;;;;;
ftv55.atsp;20406;ms;1704;1;60;59;70;70;60;;;;;;;;;;;;;
ftv55.atsp;20193;ms;1659;1;60;59;69;69;59;;;;;;;;;;;;;
ftv55.atsp;20196;ms;1704;1;56;56;66;66;59;;;;;;;;;;;;;
ftv55.atsp;20182;ms;1704;1;62;61;69;70;60;;;;;;;;;;;;;
ftv55.atsp;20083;ms;1704;1;60;60;69;69;61;;;;;;;;;;;;;
ftv55.atsp;20168;ms;1692;1;60;60;69;69;61;;;;;;;;;;;;;
ftv55.atsp;20259;ms;1704;1;60;61;69;70;60;;;;;;;;;;;;;
ftv55.atsp;20119;ms;1704;1;59;58;68;69;60;;;;;;;;;;;;;
ftv55.atsp;20209;ms;1704;1;55;55;64;64;55;;;;;;;;;;;;;
ftv55.atsp;20547;ms;1704;1;57;57;66;66;58;;;;;;;;;;;;;
ftv55.atsp;20536;ms;1636;1;53;54;60;61;54;;;;;;;;;;;;;
ftv55.atsp;20390;ms;1666;1;59;58;67;69;59;;;;;;;;;;;;;
ftv55.atsp;20234;ms;1704;1;58;59;67;68;59;;;;;;;;;;;;;
ftv55.atsp;20311;ms;1638;1;57;56;66;67;59;;;;;;;;;;;;;
ftv55.atsp;20597;ms;1704;1;58;59;69;68;59;;;;;;;;;;;;;
ftv55.atsp;21370;ms;1704;1;52;52;61;62;52;;;;;;;;;;;;;
ftv55.atsp;20310;ms;1704;1;59;58;68;68;60;;;;;;;;;;;;;
ftv55.atsp;20350;ms;1704;1;58;58;67;69;60;;;;;;;;;;;;;
ftv55.atsp;20855;ms;1704;1;59;60;69;69;61;;;;;;;;;;;;;
ftv55.atsp;20300;ms;1698;1;58;59;69;70;61;;;;;;;;;;;;;
ftv55.atsp;20118;ms;1628;1;58;56;65;66;58;;;;;;;;;;;;;
ftv55.atsp;20173;ms;1704;1;60;59;70;69;60;;;;;;;;;;;;;
ftv55.atsp;20415;ms;1704;1;60;60;70;68;61;;;;;;;;;;;;;
ftv55.atsp;20213;ms;1659;1;60;58;69;69;59;;;;;;;;;;;;;
ftv55.atsp;20314;ms;1704;1;60;60;68;68;60;1683.58;1628;58.92323232;29.7783665;1716;;;;;;;;
ftv55.atsp;30362;ms;1704;1;119;122;140;140;121;;;;;;;;;;;;;
ftv55.atsp;30181;ms;1704;1;122;123;141;141;123;;;;;;;;;;;;;
ftv55.atsp;30027;ms;1704;1;123;123;143;142;122;;;;;;;;;;;;;
ftv55.atsp;30441;ms;1629;1;117;120;140;140;122;;;;;;;;;;;;;
ftv55.atsp;30379;ms;1704;1;116;115;137;135;117;;;;;;;;;;;;;
ftv55.atsp;30082;ms;1704;1;123;119;139;140;122;;;;;;;;;;;;;
ftv55.atsp;30202;ms;1659;1;120;121;141;140;122;;;;;;;;;;;;;
ftv55.atsp;29869;ms;1704;1;119;119;139;139;121;;;;;;;;;;;;;
ftv55.atsp;30133;ms;1704;1;118;117;138;139;118;;;;;;;;;;;;;
ftv55.atsp;30216;ms;1704;1;119;119;139;140;120;;;;;;;;;;;;;
ftv55.atsp;29999;ms;1668;1;117;117;137;138;120;;;;;;;;;;;;;
ftv55.atsp;30160;ms;1704;1;119;118;136;139;119;;;;;;;;;;;;;
ftv55.atsp;30997;ms;1704;1;110;110;127;126;112;;;;;;;;;;;;;
ftv55.atsp;30538;ms;1627;1;121;120;141;140;121;;;;;;;;;;;;;
ftv55.atsp;30279;ms;1704;1;119;117;138;138;119;;;;;;;;;;;;;
ftv55.atsp;30194;ms;1704;1;116;118;137;137;119;;;;;;;;;;;;;
ftv55.atsp;30090;ms;1629;1;107;105;123;125;108;;;;;;;;;;;;;
ftv55.atsp;30665;ms;1649;1;114;112;132;133;113;;;;;;;;;;;;;
ftv55.atsp;30505;ms;1704;1;119;118;137;140;119;;;;;;;;;;;;;
ftv55.atsp;29989;ms;1704;1;108;108;124;125;107;;;;;;;;;;;;;
ftv55.atsp;30355;ms;1704;1;118;117;136;138;119;;;;;;;;;;;;;
ftv55.atsp;30425;ms;1704;1;121;121;140;141;121;;;;;;;;;;;;;
ftv55.atsp;30109;ms;1704;1;116;117;134;135;118;;;;;;;;;;;;;
ftv55.atsp;29729;ms;1704;1;122;124;143;141;122;;;;;;;;;;;;;
ftv55.atsp;29685;ms;1704;1;121;124;141;145;122;;;;;;;;;;;;;
ftv55.atsp;29902;ms;1704;1;123;124;144;143;127;;;;;;;;;;;;;
ftv55.atsp;29680;ms;1704;1;121;120;145;143;125;;;;;;;;;;;;;
ftv55.atsp;29818;ms;1629;1;124;127;142;145;125;;;;;;;;;;;;;
ftv55.atsp;29708;ms;1704;1;125;122;144;142;124;;;;;;;;;;;;;
ftv55.atsp;29609;ms;1704;1;126;123;148;143;121;;;;;;;;;;;;;
ftv55.atsp;29653;ms;1659;1;124;122;140;148;123;;;;;;;;;;;;;
ftv55.atsp;29580;ms;1704;1;121;123;143;144;124;;;;;;;;;;;;;
ftv55.atsp;29774;ms;1649;1;122;123;143;141;119;;;;;;;;;;;;;
ftv55.atsp;29751;ms;1659;1;124;124;141;142;122;;;;;;;;;;;;;
ftv55.atsp;29641;ms;1659;1;126;120;144;140;124;;;;;;;;;;;;;
ftv55.atsp;29640;ms;1704;1;124;122;141;143;121;;;;;;;;;;;;;
ftv55.atsp;29666;ms;1629;1;123;123;138;143;126;;;;;;;;;;;;;
ftv55.atsp;29692;ms;1704;1;122;125;140;142;126;;;;;;;;;;;;;
ftv55.atsp;29768;ms;1704;1;122;120;139;141;123;;;;;;;;;;;;;
ftv55.atsp;29614;ms;1628;1;121;122;142;143;121;;;;;;;;;;;;;
ftv55.atsp;29765;ms;1704;1;119;122;141;143;122;;;;;;;;;;;;;
ftv55.atsp;29600;ms;1628;1;116;117;136;136;120;;;;;;;;;;;;;
ftv55.atsp;30017;ms;1704;1;119;117;139;139;119;;;;;;;;;;;;;
ftv55.atsp;29720;ms;1628;1;120;119;138;144;119;;;;;;;;;;;;;
ftv55.atsp;30704;ms;1716;1;117;115;137;136;118;;;;;;;;;;;;;
